"注意事項：
1.題型為單選題，請嚴格按照專有名詞填寫。
2.題型、題幹、難易度、答案為必填。答案用英文大寫字母 A, B, C, D。",,,,,,,,,,,
請根據上方的規則進行填寫。,,,,,,,,,,,
題型*,題幹*,難易度*,答案*,正確答案解釋,選項-A,選項-B,選項-C,選項-D,選項-E,選項-F,選項-G
單選題,若函數 f(x) = 1/(x-5)，則 f(x) 的定義域不包含哪一個點？,易,D,分母不能為 0，當 x=5 時分母為 0,0,2,4,5,,,
單選題,若 f(x) = x³，則 f(3) 的值為何？,易,C,f(3) = 3³ = 27,9,18,27,81,,,
單選題,若 f(x) = 3x + 2，則 f(4) 的值為何？,易,C,f(4) = 3×4 + 2 = 14,9,12,14,16,,,
單選題,(2³)² 等於多少？（提示：(xᵃ)ᵇ = xᵃᵇ）,易,B,使用指數律 (xᵃ)ᵇ = xᵃᵇ，所以 (2³)² = 2⁶,2⁵,2⁶,4³,4⁶,,,
單選題,x³ · x⁴ 等於多少？（提示：xᵃ · xᵇ = xᵃ⁺ᵇ）,易,A,使用指數律 xᵃ · xᵇ = xᵃ⁺ᵇ，所以 x³ · x⁴ = x⁷,x⁷,x¹²,3x⁴,4x³,,,
單選題,(x+3)² 展開後等於？（提示：(a+b)² = a² + 2ab + b²）,中,C,使用完全平方公式 (a+b)² = a² + 2ab + b²,x² + 9,x² + 3x + 9,x² + 6x + 9,x² + 6x + 3,,,
單選題,(3x+2)² 展開後等於？（提示：(a+b)² = a² + 2ab + b²）,中,C,使用完全平方公式，a=3x，b=2，得 9x² + 12x + 4,9x² + 4,9x² + 6x + 4,9x² + 12x + 4,3x² + 12x + 4,,,
單選題,(√5)² 等於多少？,易,B,根據平方根定義 (√a)² = a,√5,5,25,√25,,,
單選題,(-4) + (-3) 等於多少？,易,A,負數加負數，絕對值相加，結果為負,-7,-1,1,7,,,
單選題,下列何者「不是」多項式函數？,中,C,多項式的指數必須是非負整數，1/x² = x⁻² 指數為負,f(x) = x³,f(x) = 5x - 2,f(x) = 1/x²,f(x) = x⁴ - 3x² + 1,,,
單選題,若 f(x) = x²，則 f(2) - f(-2) 等於？,中,B,f(2) = 4，f(-2) = 4，所以 f(2) - f(-2) = 0,-4,0,4,8,,,
單選題,若 f(x) = x²，則 f(3) 等於？,易,B,f(3) = 3² = 9,6,9,12,27,,,
單選題,若 f(x) = 2x + 3，則 f(3) - f(-2) 等於？,中,C,f(3) = 9，f(-2) = -1，所以 f(3) - f(-2) = 10,5,8,10,14,,,
單選題,若 f(x) = 2x + 3，則 f(-1) 等於？,易,C,f(-1) = 2×(-1) + 3 = -2 + 3 = 1,-1,0,1,5,,,
單選題,化簡 3x² - 2x + 4x² + 5x - 2 等於？,中,A,合併同類項：(3+4)x² + (-2+5)x - 2 = 7x² + 3x - 2,7x² + 3x - 2,7x² - 3x - 2,12x² + 3x - 2,7x² + 7x - 2,,,
單選題,x² - 16 因式分解為？（提示：(a+b)(a-b) = a² - b²）,中,C,使用平方差公式 a² - b² = (a+b)(a-b)，16 = 4²,(x+4)²,(x-4)²,(x+4)(x-4),(x+8)(x-2),,,
單選題,x² - 9y² 因式分解為？（提示：(a+b)(a-b) = a² - b²）,中,C,使用平方差公式，9y² = (3y)²,(x+3y)²,(x-3y)²,(x+3y)(x-3y),(x+9y)(x-y),,,
單選題,x² - 25 因式分解為？（提示：(a+b)(a-b) = a² - b²）,中,C,使用平方差公式，25 = 5²,(x+5)²,(x-5)²,(x+5)(x-5),(x+25)(x-1),,,
單選題,(x-4)² 展開後等於？（提示：(a-b)² = a² - 2ab + b²）,中,C,使用完全平方公式 (a-b)² = a² - 2ab + b²,x² - 16,x² - 4x + 16,x² - 8x + 16,x² + 8x + 16,,,
單選題,(4x-1)² 展開後等於？（提示：(a-b)² = a² - 2ab + b²）,難,C,使用完全平方公式，a=4x，b=1，得 16x² - 8x + 1,16x² - 1,16x² - 4x + 1,16x² - 8x + 1,4x² - 8x + 1,,,
單選題,若 f(x) = x²，則 f(-3) 等於？,易,B,f(-3) = (-3)² = 9,-9,-6,9,6,,,
單選題,x⁵ ÷ x² 等於多少？,中,A,使用指數律 xᵃ ÷ xᵇ = xᵃ⁻ᵇ，所以 x⁵ ÷ x² = x³,x³,x⁷,x¹⁰,x²·⁵,,,
單選題,(x-5)² 展開後等於？（提示：(a-b)² = a² - 2ab + b²）,中,C,使用完全平方公式 (a-b)² = a² - 2ab + b²,x² - 25,x² - 5x + 25,x² - 10x + 25,x² + 10x + 25,,,
單選題,x² - 36 因式分解為？（提示：(a+b)(a-b) = a² - b²）,中,C,使用平方差公式，36 = 6²,(x+6)²,(x-6)²,(x+6)(x-6),(x+12)(x-3),,,
